Master Inventory — Edit Here Only,,,,,,
All edits happen on this tab. The Price List (EN) and Lista de Precios (ES) tabs update automatically.,,,,,,
,,,,,,
Product,Category,Price (USD),Status,Bulk Discount (EN),Bulk Discount (ES),COA URL
Ipamorelin 10mg,Performance & Hormones,$100,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
CJC with DAC 5mg,Performance & Hormones,$120,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1g4EbJVgt7Dn2u5tOB5h7s2bRWXY7-0Zn/view?usp=sharing
CJC-1295 without DAC + IPA 10mg,Performance & Hormones,$120,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
SS-31 10mg,Anti-Aging & Longevity,$120,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
NAD+ 500mg,Anti-Aging & Longevity,$150,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1JsR6-MFBvUyU3Z65ZfAPqFa2iTR7F6z_/view?usp=sharing
Mots-C 10mg,Anti-Aging & Longevity,$90,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/17UVvQrPaP0lHWuH-X89tti-g5T6XGmDH/view?usp=sharing
Mots-C 40mg,Anti-Aging & Longevity,$150,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
Epithalon 50mg,Anti-Aging & Longevity,$170,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
Thymosin Alpha-1 10mg,Immune System Modulation,$150,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
Selank 10mg,Cognitive & Mood,$90,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1F3Ns99ZPjeIfJ8Uv9hcvt00AjI-AqaE5/view?usp=sharing
Adamax 5mg,Cognitive & Mood,$165,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
Semax 10mg,Cognitive & Mood,$90,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1OO5hsgt2_0WEujkgwfEhRZTWO-l9-lxM/view?usp=sharing
Pinealon 20mg,Cognitive & Mood,$120,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
DSIP 15mg,Sleep,$135,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
PT-141 10mg,Sexual Health,$125,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
KissPeptin-10 10mg,Sexual Health,$130,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
Melanotan II,Tanning & Sexual Function,$90,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
GLOW 70mg,Skin & Hair,$150,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1gn2djbX29q70xpRl0p-gy_voPU8llI1f/view?usp=sharing
GLOW 50mg,Skin & Hair,$120,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
GHK-CU 50mg,Skin & Hair,$70,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://verify.janoshik.com/tests/94974-GHKCU_50mg_KHSEMSR1C4Q7
GHK-CU 100mg,Skin & Hair,$100,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
Thymalin 10mg,Immune & Antioxidant,$120,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
Glutathione 1500mg,Immune & Antioxidant,$100,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
BAC Water 2ml,Reconstitution Supply,$3,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
BAC Water 3ml,Reconstitution Supply,$4,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
BAC Water 10ml,Reconstitution Supply,$5,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
